mechanism,base_rate,group_gap,seed,aggregation,statistic,statistic_max,statistic_mean,statistic_weighted,statistic_mi,eo_gap,tpr_gap,fpr_gap,dp_gap,eo_base,dp_base,eo_gap_delta,dp_gap_delta
mcar,0.15,0.0,9,max,0.00041776945515491215,0.00041776945515491215,0.00022240079818540564,0.00022400690797844217,0.00024885344026564653,0.325251137070122,0.325251137070122,0.21194489944489944,0.30098636280567614,0.325251137070122,0.30098636280567614,0.0,0.0
mcar,0.15,0.05,0,max,0.04684155420242196,0.04684155420242196,0.02873295940649879,0.03793485475583802,0.018677068869307575,0.30501013322701753,0.30501013322701753,0.19548099570498317,0.2841532639545884,0.3266636765341041,0.29512771996215703,-0.021653543307086576,-0.010974456007568634
mcar,0.15,0.05,1,max,0.04737790884219448,0.04737790884219448,0.03633980028460791,0.04320373508016774,0.04280428713612158,0.3826595249931844,0.3826595249931844,0.24351266547569966,0.3353761941784268,0.40913610340458967,0.3470200036801334,-0.02647657841140527,-0.011643809501706626
mcar,0.15,0.05,2,max,0.04175611597348369,0.04175611597348369,0.02807497534431409,0.03234523186257792,0.024029256363658557,0.3124969513682259,0.3124969513682259,0.2037049715309394,0.2907309322033898,0.30255434694242556,0.2799258474576271,0.009942604425800361,0.010805084745762694
mcar,0.15,0.05,3,max,0.04776601472478342,0.04776601472478342,0.030134413465037903,0.03687122499870119,0.023149991274659353,0.2986262626262627,0.2986262626262627,0.16886273433300164,0.2672159859883767,0.2965656565656566,0.26353395430300136,0.002060606060606096,0.003682031685375342
mcar,0.15,0.05,4,max,0.046476207861750024,0.046476207861750024,0.02637130339539978,0.03677192296667557,0.034330607449354074,0.2939554106566554,0.2939554106566554,0.17054370903720112,0.2536112163698371,0.32191431205954024,0.27618037135278517,-0.027958901402884817,-0.022569154982948092
mcar,0.15,0.05,5,max,0.037323137151122204,0.037323137151122204,0.021532986261617853,0.0279689113879336,0.028457777036353805,0.27416631490080207,0.27416631490080207,0.17823571945046998,0.2604616048317515,0.29497678345293377,0.2848899913718723,-0.0208104685521317,-0.024428386540120806
mcar,0.15,0.05,6,max,0.049884434124395624,0.049884434124395624,0.03820697978170042,0.04264443910665447,0.038407433547758135,0.3248703315285434,0.3248703315285434,0.220781900079084,0.30068891080137516,0.328951433263418,0.30446659382245556,-0.004081101734874637,-0.0037776830210803913
mcar,0.15,0.05,7,max,0.048721738503167064,0.048721738503167064,0.029198786277010624,0.03556105293325895,0.03636140213646488,0.2875706495615998,0.2875706495615998,0.18362612996759337,0.2825261158594492,0.28979994364609746,0.2700617283950617,-0.0022292940844976794,0.012464387464387494
mcar,0.15,0.05,8,max,0.034336402728133014,0.034336402728133014,0.02210540380193087,0.026658986905905107,0.016700105290299555,0.34346494865088983,0.34346494865088983,0.23104395604395606,0.3177382238449666,0.3832046947757862,0.34238323933805703,-0.03973974612489639,-0.02464501549309045
mcar,0.15,0.05,9,max,0.045353789291831634,0.045353789291831634,0.030593134327624637,0.03470485844652764,0.026102023024863256,0.3189440790550047,0.3189440790550047,0.2238033488033488,0.3058811326625869,0.325251137070122,0.30098636280567614,-0.006307058015117273,0.00489476985691073
mcar,0.15,0.1,0,max,0.094547769887594,0.094547769887594,0.05780576572688549,0.07655373664044138,0.03426267187840712,0.31935446360344194,0.31935446360344194,0.18579411628873593,0.2851736721178537,0.3266636765341041,0.29512771996215703,-0.007309212930662168,-0.009954047844303315
mcar,0.15,0.1,1,max,0.09504054805391385,0.09504054805391385,0.07279679926325251,0.08645644151989855,0.08732414851607544,0.4180925958593261,0.4180925958593261,0.252702578901562,0.3542426799328292,0.40913610340458967,0.3470200036801334,0.008956492454736453,0.007222676252695792
mcar,0.15,0.1,2,max,0.08401223914682594,0.08401223914682594,0.05631968352485468,0.06477453407384406,0.05272288747884143,0.26410906785034877,0.26410906785034877,0.1618343431577266,0.2470603813559322,0.30255434694242556,0.2799258474576271,-0.03844527909207679,-0.03286546610169491
mcar,0.15,0.1,3,max,0.09429236344313713,0.09429236344313713,0.06003895306073537,0.07340003640610322,0.0390929707668837,0.29454545454545455,0.29454545454545455,0.15600086927678458,0.2587572645490009,0.2965656565656566,0.26353395430300136,-0.002020202020202033,-0.004776689754000474
