mechanism,base_rate,group_gap,seed,aggregation,statistic,statistic_max,statistic_mean,statistic_weighted,statistic_mi,eo_gap,tpr_gap,fpr_gap,dp_gap,eo_base,dp_base,eo_gap_delta,dp_gap_delta
mcar,0.15,0.2,3,max,0.1871722027972028,0.1871722027972028,0.1202797202797203,0.14758238998570491,0.07506384750082244,0.13732229339165758,0.13732229339165758,0.033846153846153804,0.12306858227161832,0.14888298703327607,0.15952832746001622,-0.011560693641618491,-0.036459745188397896
mcar,0.15,0.2,4,max,0.18699596774193547,0.18699596774193547,0.10586917562724014,0.1475690899913797,0.1081710534988615,0.10823754789272033,0.10823754789272033,0.09999999999999998,0.17987567987567987,0.046934865900383094,0.08896658896658893,0.06130268199233724,0.09090909090909094
mcar,0.15,0.2,5,max,0.15232716329307006,0.15232716329307006,0.08736996880625525,0.11397735573025178,0.1296749477018382,0.23428571428571432,0.23428571428571432,0.055299539170506895,0.17420132610006023,0.17142857142857137,0.16998191681735986,0.06285714285714294,0.00421940928270037
mcar,0.15,0.2,6,max,0.2,0.2,0.1532142857142857,0.1711544161232958,0.14172198255431134,0.2222222222222222,0.2222222222222222,0.042857142857142816,0.19200000000000006,0.21666666666666667,0.19200000000000006,0.005555555555555536,0.0
mcar,0.15,0.2,7,max,0.19312846777635512,0.19312846777635512,0.1162291933418694,0.14152074287608163,0.16344246663858167,0.12571428571428567,0.12571428571428567,0.04542504866969499,0.13337133086349384,0.12571428571428567,0.15474494157879737,0.0,-0.021373610715303526
mcar,0.15,0.2,8,max,0.13674205178629956,0.13674205178629956,0.08768272697476236,0.10594983322729287,0.08011456055091046,0.25396825396825395,0.2362637362637362,0.25396825396825395,0.10463821892393321,0.25396825396825395,0.07012987012987015,0.0,0.03450834879406306
mcar,0.15,0.2,9,max,0.18214285714285713,0.18214285714285713,0.12214285714285715,0.138619541080681,0.0938825231153288,0.19899665551839463,0.19899665551839463,0.14393939393939387,0.244,0.19356187290969906,0.21200000000000008,0.005434782608695565,0.03199999999999992
mcar,0.15,0.3,0,max,0.2846715328467153,0.2846715328467153,0.1737226277372263,0.23057106054100474,0.12958751126228635,0.14492753623188404,0.1200842696629213,0.14492753623188404,0.06309678405011065,0.1513342696629213,0.09678405011076319,-0.006406733431037259,-0.03368726606065253
mcar,0.15,0.3,1,max,0.288,0.288,0.2192,0.260029197080292,0.2434192114592108,0.15653804093110446,0.15653804093110446,0.0875576036866359,0.12307692307692308,0.15075769411029527,0.14959083469721768,0.00578034682080919,-0.026513911620294595
mcar,0.15,0.3,2,max,0.2535211267605634,0.2535211267605634,0.16901408450704225,0.19448356807511735,0.19009071662185167,0.17732924851324572,0.17732924851324572,0.06365834004834814,0.15773809523809523,0.16760676873489117,0.17460317460317454,0.009722479778354554,-0.016865079365079305
mcar,0.15,0.3,3,max,0.28125,0.28125,0.1796875,0.22017663043478258,0.13879413169081295,0.1257615997500391,0.1257615997500391,0.009230769230769209,0.12659257251287614,0.14888298703327607,0.15952832746001622,-0.023121387283236983,-0.03293575494714007
mcar,0.15,0.3,4,max,0.28225806451612906,0.28225806451612906,0.1596774193548387,0.22344411860540891,0.19529154460752818,0.08045977011494254,0.08045977011494254,0.01666666666666672,0.1301476301476302,0.046934865900383094,0.08896658896658893,0.03352490421455945,0.04118104118104127
mcar,0.15,0.3,5,max,0.2204724409448819,0.2204724409448819,0.12755905511811022,0.1661320112763682,0.13202323029233565,0.13714285714285712,0.13714285714285712,0.0,0.1456700823789432,0.17142857142857137,0.16998191681735986,-0.03428571428571425,-0.02431183443841667
mcar,0.15,0.3,6,max,0.3,0.3,0.2285714285714286,0.2538392857142857,0.1759861498742154,0.24444444444444446,0.24444444444444446,0.021428571428571352,0.19200000000000006,0.21666666666666667,0.19200000000000006,0.02777777777777779,0.0
mcar,0.15,0.3,7,max,0.29545454545454547,0.29545454545454547,0.17424242424242425,0.2145586297760211,0.24731978276344224,0.13714285714285712,0.13714285714285712,0.02790395846852689,0.11612995155314898,0.12571428571428567,0.15474494157879737,0.011428571428571455,-0.03861499002564839
mcar,0.15,0.3,8,max,0.2074074074074074,0.2074074074074074,0.13185185185185183,0.1595505617977528,0.12194470222634954,0.23280423280423285,0.2005494505494505,0.23280423280423285,0.10055658627087194,0.25396825396825395,0.07012987012987015,-0.021164021164021107,0.030426716141001786
mcar,0.15,0.3,9,max,0.2714285714285714,0.2714285714285714,0.18428571428571427,0.2083610188261351,0.15269897672758842,0.2320234113712375,0.2320234113712375,0.15909090909090912,0.264,0.19356187290969906,0.21200000000000008,0.038461538461538436,0.051999999999999935
mcar,0.3,0.0,0,max,0.0030856594624729394,0.0030856594624729394,0.0015298647755117814,0.0016291344035026952,0.0013585655970029926,0.1088483146067416,0.1088483146067416,0.012422360248447228,0.11565197463906507,0.1088483146067416,0.11565197463906507,0.0,0.0
mcar,0.3,0.0,1,max,0.0027826086956521667,0.0027826086956521667,0.0017391304347825986,0.001961011651037214,0.0017582680400797825,0.1237306670832683,0.1237306670832683,0.0,0.13846153846153852,0.1237306670832683,0.13846153846153852,0.0,0.0
